shrink,diastole,amount
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,1
1,7,2
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,56
2,7,5
2,8,1
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,475
3,7,83
3,8,7
3,9,1
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,969
4,7,360
4,8,36
4,9,0
4,10,1
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
5,1,0
5,2,3
5,3,31
5,4,117
5,5,455
5,6,1285
5,7,873
5,8,166
5,9,31
5,10,1
5,11,0
5,12,0
5,13,2
5,14,0
5,15,0
5,16,0
6,1,0
6,2,7
6,3,18
6,4,123
6,5,404
6,6,943
6,7,857
6,8,274
6,9,57
6,10,5
6,11,1
6,12,1
6,13,0
6,14,0
6,15,0
6,16,0
7,1,1
7,2,5
7,3,32
7,4,118
7,5,308
7,6,655
7,7,801
7,8,408
7,9,161
7,10,19
7,11,7
7,12,1
7,13,1
7,14,0
7,15,0
7,16,0
8,1,2
8,2,1
8,3,7
8,4,42
8,5,127
8,6,249
8,7,328
8,8,234
8,9,121
8,10,20
8,11,8
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
9,1,0
9,2,0
9,3,11
9,4,41
9,5,93
9,6,252
9,7,312
9,8,284
9,9,211
9,10,60
9,11,33
9,12,6
9,13,0
9,14,0
9,15,0
9,16,1
10,1,0
10,2,1
10,3,3
10,4,8
10,5,26
10,6,58
10,7,92
10,8,91
10,9,62
10,10,31
10,11,15
10,12,3
10,13,3
10,14,0
10,15,0
10,16,0
11,1,0
11,2,0
11,3,1
11,4,8
11,5,21
11,6,28
11,7,70
11,8,58
11,9,89
11,10,21
11,11,7
11,12,3
11,13,0
11,14,1
11,15,0
11,16,0
12,1,0
12,2,0
12,3,1
12,4,4
12,5,5
12,6,11
12,7,34
12,8,30
12,9,27
12,10,13
12,11,8
12,12,10
12,13,0
12,14,0
12,15,1
12,16,1
13,1,0
13,2,0
13,3,0
13,4,2
13,5,3
13,6,4
13,7,26
13,8,23
13,9,31
13,10,15
13,11,15
13,12,2
13,13,3
13,14,0
13,15,1
13,16,2
14,1,0
14,2,0
14,3,0
14,4,1
14,5,4
14,6,4
14,7,7
14,8,13
14,9,21
14,10,16
14,11,16
14,12,8
14,13,3
14,14,2
14,15,4
14,16,5
