age,sex,sort,rate
total,m,underweight,6.3
total,m,normal,60.8
total,m,overweight,27.4
total,m,obesity,5.5
total,f,underweight,10.4
total,f,normal,61.9
total,f,overweight,22.3
total,f,obesity,5.3
18-34,m,underweight,6.6
18-34,m,normal,65.7
18-34,m,overweight,22.3
18-34,m,obesity,5.4
18-34,f,underweight,15.9
18-34,f,normal,69.6
18-34,f,overweight,12
18-34,f,obesity,2.6
35-44,m,underweight,3.1
35-44,m,normal,57.7
35-44,m,overweight,32.3
35-44,m,obesity,6.9
35-44,f,underweight,6.5
35-44,f,normal,67.3
35-44,f,overweight,22
35-44,f,obesity,4.3
45-54,m,underweight,3.3
45-54,m,normal,58.2
45-54,m,overweight,32.3
45-54,m,obesity,6.2
45-54,f,underweight,5.6
45-54,f,normal,59.8
45-54,f,overweight,28.2
45-54,f,obesity,6.4
55-64,m,underweight,5.7
55-64,m,normal,61.5
55-64,m,overweight,27.8
55-64,m,obesity,5.1
55-64,f,underweight,7.9
55-64,f,normal,56.8
55-64,f,overweight,28.1
55-64,f,obesity,7.2
65-,m,underweight,13.2
65-,m,normal,60.2
65-,m,overweight,22.6
65-,m,obesity,4
65-,f,underweight,16.2
65-,f,normal,55.3
65-,f,overweight,22.2
65-,f,obesity,6.2
